Copies,Attack,Defence,Faction,Name,Traits,Action,Tags,Designer,CardNumber
10,0,2,Mercenaries,Private,,,Starting,Brendan Head,1-1
2,0,1,Mercenaries,Infantry,<em>- Hold The Line! -</em><br><strong>On Recruit:</strong> Attacks this turn. Gains +1/+1 counters equal to number of other friendly units in this Lane.,,,Brendan Head,1-2
1,3,1,Mercenaries,Archer,{attacksLast:Attacks Last.}<br><br>Attacks any Lane except its own.,,,Brendan Head,1-3
2,1,5,Mercenaries,Horseman,{attacksFirst:Attacks First.}<br><br><strong>On Recruit:</strong> Attacks this turn.,,,Brendan Head,1-4
1,1,2,Mercenaries,Knight,"<em>- Avenge Me, Squire! -</em><br><strong>On Death:</strong> Place a Private with a +1/+1 counter on it in any Lane.",,,Brendan Head,1-5
2,4,0,Mercenaries,Battering Ram,{action:Action}<br> Attacks this turn.,Action,,Brendan Head,1-6
2,0,1,Mercenaries,Gladiator,<em>- I Can Do This All Day! -</em><br><strong>End of Turn:</strong> Gains a +1/+1 counter.,,,Brendan Head,1-7
1,1,2,Mercenaries,Commander,<em>- All According To Plan -</em><br><strong>On Recruit:</strong> Attacks this turn. You decide how damage is dealt to enemy units this turn in all Lanes.,,,Brendan Head,1-8
2,1,2,Mercenaries,Mob,<em>- Rally the Troops! -</em><br><strong>On Recruit:</strong> Place 1 Private in both other Lanes.,,,Brendan Head,1-9
2,1,3,Mercenaries,Scout,<strong>On Recruit:</strong> May move this to a different Lane.<br><br><strong>End of Turn:</strong> May move this to a different Lane.,,,Brendan Head,1-10
1,1,2,Mercenaries,Medic,<strong>On Recruit:</strong> Heal 2 damage.<br><br>This can be from units (in any Lanes) or your HP in any combination.,,,Brendan Head,1-11
6,0,2,Goblins,Gremlin,,,Starting,Brendan Head,2-1
2,2,1,Goblins,Sniper,{attacksFirst:Attacks First.}<br><br>Attacks any Lane except its own.,,,Brendan Head,2-2
2,2,2,Goblins,Arsonist,"{attacksLast:Attacks Last.}<br> When attacking, also deals 1 damage to a different Lane.",,,Brendan Head,2-3
2,2,4,Goblins,Skirmisher,<strong>On Recruit:</strong> This takes 2 damage.<br><br><strong>End of Turn:</strong> Heals 1 damage on itself.,,,Brendan Head,2-4
1,1,1,Goblins,The Rat,"You decide how damage is dealt to enemy units in this Lane.<br><br><strong>End of Turn:</strong> If there are no enemy units in this Lane, this dies. Otherwise, you may move this to any Lane.",,,Brendan Head,2-5
1,4,5,Goblins,King Gizzard,You must damage this before other units in this Lane.<br><br><strong>End of Turn:</strong> This takes 1 damage.,,,Brendan Head,2-6
2,1,3,Goblins,Hobgoblin,<strong>On Recruit:</strong> Attacks this turn.<br><br>This unit always attacks every turn.,,,Brendan Head,2-7
2,0,1,Goblins,Potion Master,<strong>End of Turn:</strong> Another unit in this Lane gains a +1/+1 counter.,,,Brendan Head,2-8
2,3,0,Goblins,Bomb,<em>- Kaboom! -</em><br>{action:Action}<br> All units in this Lane (both friendly and enemy) attack this turn.,Action,,Brendan Head,2-9
1,0,0,Goblins,Gob,{action:Action}<br> Place a Gremlin with a +1/+1 counter on it in both other Lanes.,Action,,Brendan Head,2-10
